OAREA,DAREA,F0
海陵区,徐汇区,5.699928945899031e-10
高港区,徐汇区,3.3971718071140024e-10
姜堰区,徐汇区,5.214802097063619e-10
兴化市,徐汇区,8.320167804871724e-10
靖江市,徐汇区,1.3134213284465543e-09
泰兴市,徐汇区,3.570809959392233e-10
黄浦区,长宁区,1.8993809453807804e-07
徐汇区,长宁区,3.143950738052596e-07
静安区,长宁区,1.9526440959696632e-07
普陀区,长宁区,3.3357191568488194e-07
虹口区,长宁区,7.506576781179652e-08
杨浦区,长宁区,8.625756896575471e-08
闵行区,长宁区,2.910763600013264e-07
宝山区,长宁区,1.1130573852687e-07
嘉定区,长宁区,2.0856511704404078e-07
浦东新区,长宁区,1.5951921784062743e-07
金山区,长宁区,4.3893061908488845e-08
松江区,长宁区,1.0864200656261626e-07
青浦区,长宁区,1.8345006382815902e-07
奉贤区,长宁区,4.386506994891756e-08
崇明区,长宁区,2.503903014719853e-07
玄武区,长宁区,8.104121272851948e-10
秦淮区,长宁区,4.734249588825926e-10
建邺区,长宁区,2.0261120406183752e-10
鼓楼区,长宁区,8.61024910463225e-10
浦口区,长宁区,1.5351721590797753e-09
栖霞区,长宁区,6.666297856594735e-10
雨花台区,长宁区,5.671723186773825e-09
江宁区,长宁区,1.5857196300018822e-09
六合区,长宁区,1.8621048918748781e-10
溧水区,长宁区,1.7416630139290775e-10
高淳区,长宁区,1.9740740309252025e-10
锡山区,长宁区,3.5204979391445454e-09
惠山区,长宁区,2.1732910447962448e-09
滨湖区,长宁区,1.7359481176176296e-09
梁溪区,长宁区,2.6548371829704773e-09
新吴区,长宁区,2.7335893762556714e-09
江阴市,长宁区,1.8874440659047326e-09
宜兴市,长宁区,2.2057518928534415e-09
天宁区,长宁区,1.9723344097804278e-09
钟楼区,长宁区,1.0105831768198344e-09
新北区,长宁区,1.7002939685000224e-09
武进区,长宁区,6.508355325361774e-10
金坛区,长宁区,4.253875405948695e-10
溧阳市,长宁区,1.967633374147537e-09
虎丘区,长宁区,1.6747177719669482e-09
吴中区,长宁区,2.694329164141874e-09
相城区,长宁区,3.208985511612733e-09
姑苏区,长宁区,6.135022696952265e-09
吴江区,长宁区,6.53297577055859e-09
常熟市,长宁区,5.015040518819667e-09
张家港市,长宁区,2.0049951379536237e-09
昆山市,长宁区,3.432880847109025e-08
太仓市,长宁区,3.0864755455817966e-08
崇川区,长宁区,5.456411436413367e-09
港闸区,长宁区,5.367177335963478e-10
通州区,长宁区,1.5852695869216646e-09
如东县,长宁区,1.5788699036866215e-09
启东市,长宁区,2.1311851046289485e-08
如皋市,长宁区,9.165331757302277e-10
海门市,长宁区,7.292198100162292e-09
海安市,长宁区,2.2575080265641445e-09
广陵区,长宁区,2.1695564200539583e-10
邗江区,长宁区,2.6870977853787834e-10
江都区,长宁区,3.4987709763500527e-10
宝应县,长宁区,1.1383906866064413e-09
仪征市,长宁区,4.219049859325209e-10
高邮市,长宁区,4.904891224799954e-10
京口区,长宁区,3.4171410078580014e-10
润州区,长宁区,3.357217283301375e-09
丹徒区,长宁区,1.6692091258345177e-09
丹阳市,长宁区,2.365360188428613e-09
扬中市,长宁区,4.352716665666422e-10
句容市,长宁区,1.1137531387568207e-09
海陵区,长宁区,8.545321303262361e-10
高港区,长宁区,7.13024580579797e-11
姜堰区,长宁区,1.8242047057491542e-10
兴化市,长宁区,9.70167162611722e-10
靖江市,长宁区,6.891774577598932e-10
泰兴市,长宁区,6.424020798613593e-10
黄浦区,静安区,3.479563661349591e-07
徐汇区,静安区,1.6664018116944895e-07
长宁区,静安区,1.9019570316939357e-07
普陀区,静安区,3.9621792835830053e-07
虹口区,静安区,5.312900083682543e-07
杨浦区,静安区,2.419696738035848e-07
闵行区,静安区,8.03543298231767e-08
宝山区,静安区,4.4492340135933143e-07
嘉定区,静安区,8.482957667903063e-08
浦东新区,静安区,1.638309909796627e-07
金山区,静安区,2.1709215461262242e-08
松江区,静安区,5.5417594685982606e-08
青浦区,静安区,4.621849112391275e-08
奉贤区,静安区,2.8766185234192467e-08
崇明区,静安区,8.90588042285012e-08
玄武区,静安区,1.4774364802260044e-09
秦淮区,静安区,3.25742345608178e-10
建邺区,静安区,1.302573170229564e-10
鼓楼区,静安区,1.3709465098160138e-09
浦口区,静安区,8.60356118418699e-10
栖霞区,静安区,7.532470495565342e-10
雨花台区,静安区,2.239166385633012e-09
江宁区,静安区,6.084730317525592e-10
六合区,静安区,1.5236252546558112e-10
溧水区,静安区,1.4250764093372064e-10
高淳区,静安区,4.845724418428633e-10
锡山区,静安区,1.6102553451472777e-09
惠山区,静安区,1.4787521806801589e-09
滨湖区,静安区,1.3722511610107143e-09
梁溪区,静安区,2.9383702847532495e-09
新吴区,静安区,2.8340766437372327e-09
