OAREA,DAREA,F0
高港区,徐汇区,5.309674485759686e-10
姜堰区,徐汇区,4.3222052755757043e-10
兴化市,徐汇区,3.9989278874333793e-10
靖江市,徐汇区,9.474989158751243e-10
泰兴市,徐汇区,1.7255957619368087e-09
黄浦区,长宁区,1.523067145126687e-07
徐汇区,长宁区,2.424448652823928e-07
静安区,长宁区,1.66292271058824e-07
普陀区,长宁区,2.6529562589363584e-07
虹口区,长宁区,6.763920502725085e-08
杨浦区,长宁区,7.084682378725638e-08
闵行区,长宁区,2.391813463698005e-07
宝山区,长宁区,9.818345209897436e-08
嘉定区,长宁区,1.7985796612766124e-07
浦东新区,长宁区,1.3954756783326571e-07
金山区,长宁区,3.7463561328255945e-08
松江区,长宁区,9.58715004060402e-08
青浦区,长宁区,1.6598953894850496e-07
奉贤区,长宁区,3.809539319728221e-08
崇明区,长宁区,2.2169195155570375e-07
玄武区,长宁区,4.1026521550732445e-10
秦淮区,长宁区,4.3222022443777583e-10
建邺区,长宁区,2.2794230041740808e-10
鼓楼区,长宁区,3.8298973304509965e-10
浦口区,长宁区,4.4268515235152285e-10
栖霞区,长宁区,2.5518896815681674e-10
雨花台区,长宁区,3.165329018023427e-09
江宁区,长宁区,1.0604293022576584e-09
六合区,长宁区,1.4941639301784184e-10
溧水区,长宁区,3.3959326315014966e-10
锡山区,长宁区,2.407209639903641e-09
惠山区,长宁区,1.6316812238676045e-09
滨湖区,长宁区,8.31733601577644e-10
梁溪区,长宁区,1.5461598239811826e-09
新吴区,长宁区,2.1251879315922497e-09
江阴市,长宁区,1.6341285356397767e-09
宜兴市,长宁区,1.5091907320660285e-09
天宁区,长宁区,8.659893274780325e-10
钟楼区,长宁区,4.955421524524031e-10
新北区,长宁区,1.3410188923868297e-09
武进区,长宁区,7.158901627162428e-10
金坛区,长宁区,4.0641966391388847e-10
溧阳市,长宁区,4.5163624394553283e-10
虎丘区,长宁区,1.199304672962834e-09
吴中区,长宁区,1.3419072081297562e-09
相城区,长宁区,1.8187288910807144e-09
姑苏区,长宁区,4.180474960731638e-09
吴江区,长宁区,5.2211949145003224e-09
常熟市,长宁区,4.217293331130509e-09
张家港市,长宁区,2.1914368125285258e-09
昆山市,长宁区,2.8348089001644483e-08
太仓市,长宁区,2.526510113259192e-08
崇川区,长宁区,2.4159648720981444e-09
港闸区,长宁区,3.1123411154898646e-10
通州区,长宁区,9.63281663055841e-10
如东县,长宁区,2.839502212750531e-09
启东市,长宁区,1.573631543423748e-08
如皋市,长宁区,1.080188606254573e-09
海门市,长宁区,5.132982612133849e-09
海安市,长宁区,1.874403887876968e-09
广陵区,长宁区,1.5527659840445225e-10
邗江区,长宁区,2.4624369647649376e-10
江都区,长宁区,3.863518201456169e-10
宝应县,长宁区,1.1146320055816122e-09
仪征市,长宁区,2.1091147591063257e-10
高邮市,长宁区,4.5936240015303275e-10
京口区,长宁区,1.0314340866667999e-10
润州区,长宁区,1.6607702473184222e-09
丹徒区,长宁区,7.543655534464223e-10
丹阳市,长宁区,1.2708904388923229e-09
扬中市,长宁区,1.1895507051581937e-10
句容市,长宁区,1.6656008838237932e-09
海陵区,长宁区,4.088790810403456e-10
高港区,长宁区,4.516545589870409e-10
姜堰区,长宁区,5.616995540430458e-10
兴化市,长宁区,5.102386265665648e-10
靖江市,长宁区,9.594844416680232e-10
泰兴市,长宁区,7.922978988538611e-10
黄浦区,静安区,2.805616797793832e-07
徐汇区,静安区,1.331328463988466e-07
长宁区,静安区,1.5901409522973193e-07
普陀区,静安区,3.1639709113355606e-07
虹口区,静安区,4.0188640150524745e-07
杨浦区,静安区,1.980799331733906e-07
闵行区,静安区,7.269172174493312e-08
宝山区,静安区,3.605620781081761e-07
嘉定区,静安区,7.926706116798384e-08
