OAREA,DAREA,F0
句容市,徐汇区,1.0820830738639694e-10
海陵区,徐汇区,1.3642562435362632e-10
高港区,徐汇区,4.668989905805464e-10
姜堰区,徐汇区,2.0002658496533223e-10
兴化市,徐汇区,1.8539943824972428e-10
靖江市,徐汇区,3.0302928960649093e-10
泰兴市,徐汇区,4.203953471329545e-10
黄浦区,长宁区,6.417291793636426e-08
徐汇区,长宁区,9.066454370041756e-08
长宁区,长宁区,3.061894889279659e-06
静安区,长宁区,5.973306443235646e-08
普陀区,长宁区,1.1835789014922021e-07
虹口区,长宁区,4.5197603895333566e-08
杨浦区,长宁区,3.1079492858655094e-08
闵行区,长宁区,9.329979059706298e-08
宝山区,长宁区,4.031318893707521e-08
嘉定区,长宁区,6.906602872570012e-08
浦东新区,长宁区,2.974761216588628e-08
金山区,长宁区,6.06271869201629e-09
松江区,长宁区,3.1592546453815753e-08
青浦区,长宁区,6.455173505572031e-08
奉贤区,长宁区,5.420211162774981e-09
崇明区,长宁区,5.818172366842556e-09
玄武区,长宁区,7.174438750362771e-10
秦淮区,长宁区,5.766787287336984e-10
建邺区,长宁区,7.120540563854633e-10
鼓楼区,长宁区,5.176994074201652e-10
浦口区,长宁区,2.87704447481551e-10
栖霞区,长宁区,2.314454333030065e-10
雨花台区,长宁区,3.2345963808480514e-10
江宁区,长宁区,2.4656113708429534e-10
六合区,长宁区,2.410157029955765e-10
溧水区,长宁区,2.0207318783489854e-10
锡山区,长宁区,3.047415208342067e-10
惠山区,长宁区,3.962777902966775e-10
滨湖区,长宁区,8.631056308303719e-10
梁溪区,长宁区,7.924598883807007e-10
新吴区,长宁区,2.3855699008880956e-10
江阴市,长宁区,3.2397109404696545e-10
宜兴市,长宁区,3.068591761035187e-10
天宁区,长宁区,6.056975109813726e-10
钟楼区,长宁区,3.2815879995924906e-10
新北区,长宁区,6.21581248273196e-10
武进区,长宁区,2.411529074584926e-10
金坛区,长宁区,2.906993184149992e-10
溧阳市,长宁区,3.348189591844473e-10
虎丘区,长宁区,6.440426945330991e-10
吴中区,长宁区,5.431469765802538e-10
相城区,长宁区,5.974058375873071e-10
姑苏区,长宁区,2.0681246837558486e-09
吴江区,长宁区,3.1783359761870034e-10
常熟市,长宁区,2.4119496939917057e-10
张家港市,长宁区,2.1625000995672713e-10
昆山市,长宁区,2.7984948688009693e-09
太仓市,长宁区,1.0799934945900657e-09
崇川区,长宁区,4.5184227888679484e-10
港闸区,长宁区,3.3345976004407065e-10
通州区,长宁区,4.880507454689076e-10
如东县,长宁区,2.892111375229883e-10
启东市,长宁区,6.540476504081258e-10
如皋市,长宁区,1.7842248415799075e-10
海门市,长宁区,8.346890508096579e-10
海安市,长宁区,4.501308801412735e-10
广陵区,长宁区,1.954012102539618e-10
邗江区,长宁区,1.932210481889696e-10
江都区,长宁区,1.1099653071618919e-10
宝应县,长宁区,4.1969549745276645e-10
高邮市,长宁区,3.797955783114077e-10
京口区,长宁区,3.509197567908487e-10
润州区,长宁区,8.807484520867093e-11
丹徒区,长宁区,6.45275084542109e-11
丹阳市,长宁区,7.560556267866923e-11
扬中市,长宁区,4.755578591208373e-10
句容市,长宁区,1.3544820110168658e-10
海陵区,长宁区,2.276917653760609e-10
高港区,长宁区,2.3377365342017504e-10
姜堰区,长宁区,3.505325835386221e-10
兴化市,长宁区,2.983771222964971e-10
靖江市,长宁区,2.5287505275515176e-10
泰兴市,长宁区,4.5104902542157323e-10
黄浦区,静安区,9.379453040739097e-08
徐汇区,静安区,6.045688311463921e-08
长宁区,静安区,8.246096601404082e-08
静安区,静安区,2.4005716980215997e-06
普陀区,静安区,1.2663110947485322e-07
虹口区,静安区,1.51225536272937e-07
杨浦区,静安区,7.040037490753809e-08
闵行区,静安区,4.00592237579372e-08
宝山区,静安区,1.1361050586320154e-07
嘉定区,静安区,3.844878028969473e-08
浦东新区,静安区,3.853390278300832e-08
金山区,静安区,3.74168596206462e-09
松江区,静安区,1.867030893134945e-08
青浦区,静安区,1.7579319594952267e-08
奉贤区,静安区,4.805333241736469e-09
崇明区,静安区,5.967204239414809e-09
玄武区,静安区,6.159961627282878e-10
秦淮区,静安区,6.817082054455655e-10
建邺区,静安区,6.45333388232029e-10
鼓楼区,静安区,4.504224943218365e-10
浦口区,静安区,2.3591309706765917e-10
