OAREA,DAREA,F
崇川区,徐汇区,3.293668262024857e-13
港闸区,徐汇区,1.9023091284109743e-13
通州区,徐汇区,1.8157918484232158e-13
如东县,徐汇区,1.0999207957913542e-13
启东市,徐汇区,5.381520118493796e-13
如皋市,徐汇区,3.053574322874675e-13
海门市,徐汇区,4.0176875665514533e-13
海安市,徐汇区,2.962950342745226e-13
广陵区,徐汇区,5.5735886380944024e-14
邗江区,徐汇区,1.202487729000297e-13
江都区,徐汇区,1.7413246873700356e-13
宝应县,徐汇区,7.695847386146372e-14
仪征市,徐汇区,6.400611504351019e-14
高邮市,徐汇区,1.624983016218577e-13
京口区,徐汇区,6.005742851204278e-14
润州区,徐汇区,9.420865841598949e-14
丹徒区,徐汇区,1.1043425601023524e-13
丹阳市,徐汇区,5.391398351306031e-14
句容市,徐汇区,5.795249837983382e-14
海陵区,徐汇区,7.306468389796892e-14
高港区,徐汇区,2.5005439645724157e-13
姜堰区,徐汇区,1.0712708313358544e-13
兴化市,徐汇区,9.929330662591937e-14
靖江市,徐汇区,1.622916469088955e-13
泰兴市,徐汇区,2.2514870865335183e-13
黄浦区,长宁区,3.436871911743699e-11
徐汇区,长宁区,4.855668616222475e-11
长宁区,长宁区,1.639841366121468e-09
静安区,长宁区,3.199089241251565e-11
普陀区,长宁区,6.33882518152715e-11
虹口区,长宁区,2.4206219742107976e-11
杨浦区,长宁区,1.6645064533776175e-11
闵行区,长宁区,4.996803012644522e-11
宝山区,长宁区,2.159030182608216e-11
嘉定区,长宁区,3.698929420950226e-11
浦东新区,长宁区,1.5931756881580888e-11
金山区,长宁区,3.2469752430545e-12
松江区,长宁区,1.691983768530644e-11
青浦区,长宁区,3.457160001471729e-11
奉贤区,长宁区,2.9028711955304293e-12
崇明区,长宁区,3.116004979719555e-12
玄武区,长宁区,3.8423727355048117e-13
秦淮区,长宁区,3.088484969392061e-13
建邺区,长宁区,3.81350679497092e-13
鼓楼区,长宁区,2.772612823766399e-13
浦口区,长宁区,1.5408420969942632e-13
栖霞区,长宁区,1.2395389432178268e-13
雨花台区,长宁区,1.7323341067626578e-13
江宁区,长宁区,1.3204932451613124e-13
六合区,长宁区,1.290793884012045e-13
溧水区,长宁区,1.0822317041512082e-13
锡山区,长宁区,1.6320865670090497e-13
惠山区,长宁区,2.122322079960687e-13
滨湖区,长宁区,4.622484990335462e-13
梁溪区,长宁区,4.2441316666634377e-13
新吴区,长宁区,1.2776258972661588e-13
江阴市,长宁区,1.7350732819271497e-13
宜兴市,长宁区,1.6434279710590755e-13
天宁区,长宁区,3.243899185898372e-13
钟楼区,长宁区,1.7575011366786553e-13
新北区,长宁区,3.3289668005670965e-13
武进区,长宁区,1.2915287020317428e-13
金坛区,长宁区,1.5568815543252716e-13
溧阳市,长宁区,1.7931705668758655e-13
虎丘区,长宁区,3.4492622713517547e-13
吴中区,长宁区,2.9089009005454415e-13
相城区,长宁区,3.199491949472446e-13
姑苏区,长宁区,1.1076135952915024e-12
吴江区,长宁区,1.7022030466923286e-13
常熟市,长宁区,1.2917539707387275e-13
张家港市,长宁区,1.1581576918032197e-13
昆山市,长宁区,1.4987737380554328e-12
太仓市,长宁区,5.784058798920826e-13
崇川区,长宁区,2.419905603145883e-13
港闸区,长宁区,1.7858911825214576e-13
通州区,长宁区,2.613825196901579e-13
如东县,长宁区,1.5489113898511892e-13
启东市,长宁区,3.502845235834081e-13
如皋市,长宁区,9.555669960873769e-14
海门市,长宁区,4.470295953524239e-13
海安市,长宁区,2.410739963702609e-13
广陵区,长宁区,1.0464989790685746e-13
